Discovery HD,831,English,Infotainment,224.2.2.16,239.11.11.11,1246,10073,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Discovery_HD/Discovery_HD.m3u8,,,,,,,,,,working
PRARTHANA,743,Odia,Devotional,224.2.2.44,239.11.11.13,3012,13033,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/PRARTHANA/PRARTHANA.m3u8,,,,,,,,,,working
DD Bihar,740,Hindi,News,224.2.2.3,239.11.11.16,3136,15022,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/DD_Bihar/DD_Bihar.m3u8,,,,,,,,,,working
SHEMAROO TV,126,Hindi,Entertainment,224.2.2.4,239.11.11.15,3372,10016,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/SHEMAROO_TV/SHEMAROO_TV.m3u8,,,,,,,,,,working
Republic Kannada,647,Kannada,News,224.2.2.5,239.11.11.15,3264,10292,FALSE,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/Republic_kannada/Republic_kannada.m3u8,,,,,,,,,,working
Foodxp,393,Hindi,Infotainment,224.2.2.39,239.11.11.13,3008,10112,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/Foodxp/Foodxp.m3u8,,,,,,,,,,
India News,250,Hindi,News,224.2.2.3,239.11.11.16,3008,15039,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/India_News/India_News.m3u8,,,,,,,,,,working
khushboo,691,Bangla,Movies,224.2.2.4,239.11.11.15,3132,10300,,PROGRESS,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/KHUSHBOO/KHUSHBOO.m3u8,,,,,,,,,,
Mirror Now,419,English,News,224.2.2.41,239.11.11.13,3010,10050,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/Mirror_Now/Mirror_Now.m3u8,,,,,,,,,,working
MTV Beats,204,Hindi,Music,224.2.2.35,239.11.11.13,6012,13035,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/MTV_Beats/MTV_Beats.m3u8,,,,,,,,,,working
National Geographic,833,Hindi,Infotainment,224.2.2.9,239.11.11.10,1236,10090,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/National_Geographic/National_Geographic.m3u8,,,,,,,,,,working
News 18 Bangla,694,Bangla,News,224.2.2.36,239.11.11.13,3016,13008,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/News_18_Bangla/News_18_Bangla.m3u8,,,,,,,,,,working
Discovery Science,842,English,Infotainment,224.2.2.16,239.11.11.11,1238,10071,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Discovery_Science/Discovery_Science.m3u8,,,,,,,,,,working
DD urdu,867,Urdu,News,224.2.2.4,239.11.11.16,3748,15000,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/DD_Urdu/DD_Urdu.m3u8,,,,,,,,,,working
RAJ NEWS TELUGU,490,Telugu,News,224.2.2.5,239.11.11.15,3700,10269,,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/RAJ_NEWS_TELUGU/RAJ_NEWS_TELUGU.m3u8,,,,,,,,,,working
SADHNA PLUS,8147,Hindi,News,224.2.2.2,239.11.11.15,3060,10122,,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/SADHNA_PLUS/SADHNA_PLUS.m3u8,,,,,,,,,,glittering 
SANSKRITI 24x7,970,Hindi,Devotional,224.2.2.2,239.11.11.15,3028,10185,,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/SANSKRITI_24x7/SANSKRITI_24x7.m3u8,,,,,,,,,,
